# FLIR Boson 640 (VOx microbolometer) relative spectral response, R(lambda), peak-normalised.
# STATUS: ESTIMATED -- not a measurement. Shape: flat 1.0 over 7.75-13.25 um with raised-cosine
# edges of +/-0.25 um centred on the 7.5 and 13.5 um band edges quoted for VOx cores
# (docs/physics-model.md §16.1), zero outside 7.25-13.75 um. Optics + detector folded together.
# Expected error vs a measured curve: up to ~10 % in Lb(300 K) (ADR 0009, ADR 0013 when measured).
# Columns: wavelength in MICROMETRES, dimensionless response in [0, 1]. Grid 0.01 um.
# Authored 2026-09-11 (roadmap M1.3).
wavelength_um,response
10.28,1.000000
10.29,1.000000
10.30,1.000000
10.31,1.000000
10.32,1.000000
10.33,1.000000
10.34,1.000000
10.35,1.000000
10.36,1.000000
10.37,1.000000
10.38,1.000000
10.39,1.000000
10.40,1.000000
10.41,1.000000
10.42,1.000000
10.43,1.000000
10.44,1.000000
10.45,1.000000
10.46,1.000000
10.47,1.000000
10.48,1.000000
10.49,1.000000
10.50,1.000000
10.51,1.000000
10.52,1.000000
10.53,1.000000
10.54,1.000000
10.55,1.000000
10.56,1.000000
10.57,1.000000
10.58,1.000000
10.59,1.000000
10.60,1.000000
10.61,1.000000
10.62,1.000000
10.63,1.000000
10.64,1.000000
10.65,1.000000
10.66,1.000000
10.67,1.000000
10.68,1.000000
10.69,1.000000
10.70,1.000000
10.71,1.000000
10.72,1.000000
10.73,1.000000
10.74,1.000000
10.75,1.000000
10.76,1.000000
10.77,1.000000
10.78,1.000000
10.79,1.000000
10.80,1.000000
10.81,1.000000
10.82,1.000000
10.83,1.000000
10.84,1.000000
10.85,1.000000
10.86,1.000000
10.87,1.000000
10.88,1.000000
10.89,1.000000
10.90,1.000000
10.91,1.000000
10.92,1.000000
10.93,1.000000
10.94,1.000000
10.95,1.000000
10.96,1.000000
10.97,1.000000
10.98,1.000000
10.99,1.000000
11.00,1.000000
11.01,1.000000
11.02,1.000000
11.03,1.000000
11.04,1.000000
11.05,1.000000
11.06,1.000000
11.07,1.000000
11.08,1.000000
11.09,1.000000
11.10,1.000000
11.11,1.000000
11.12,1.000000
11.13,1.000000
11.14,1.000000
11.15,1.000000
11.16,1.000000
11.17,1.000000
11.18,1.000000
11.19,1.000000
11.20,1.000000
11.21,1.000000
11.22,1.000000
11.23,1.000000
11.24,1.000000
11.25,1.000000
11.26,1.000000
11.27,1.000000
11.28,1.000000
11.29,1.000000
11.30,1.000000
11.31,1.000000
11.32,1.000000
11.33,1.000000
11.34,1.000000
11.35,1.000000
11.36,1.000000
11.37,1.000000
11.38,1.000000
11.39,1.000000
11.40,1.000000
11.41,1.000000
11.42,1.000000
11.43,1.000000
11.44,1.000000
11.45,1.000000
11.46,1.000000
11.47,1.000000
11.48,1.000000
11.49,1.000000
11.50,1.000000
11.51,1.000000
11.52,1.000000
11.53,1.000000
11.54,1.000000
11.55,1.000000
11.56,1.000000
11.57,1.000000
11.58,1.000000
11.59,1.000000
11.60,1.000000
11.61,1.000000
11.62,1.000000
11.63,1.000000
11.64,1.000000
11.65,1.000000
11.66,1.000000
11.67,1.000000
11.68,1.000000
11.69,1.000000
11.70,1.000000
11.71,1.000000
11.72,1.000000
11.73,1.000000
11.74,1.000000
11.75,1.000000
11.76,1.000000
11.77,1.000000
11.78,1.000000
11.79,1.000000
11.80,1.000000
11.81,1.000000
11.82,1.000000
11.83,1.000000
11.84,1.000000
11.85,1.000000
11.86,1.000000
11.87,1.000000
11.88,1.000000
11.89,1.000000
11.90,1.000000
11.91,1.000000
11.92,1.000000
11.93,1.000000
11.94,1.000000
11.95,1.000000
11.96,1.000000
11.97,1.000000
11.98,1.000000
11.99,1.000000
12.00,1.000000
12.01,1.000000
12.02,1.000000
12.03,1.000000
12.04,1.000000
12.05,1.000000
12.06,1.000000
12.07,1.000000
12.08,1.000000
12.09,1.000000
12.10,1.000000
12.11,1.000000
12.12,1.000000
12.13,1.000000
12.14,1.000000
12.15,1.000000
12.16,1.000000
12.17,1.000000
12.18,1.000000
12.19,1.000000
12.20,1.000000
12.21,1.000000
12.22,1.000000
12.23,1.000000
12.24,1.000000
12.25,1.000000
12.26,1.000000
12.27,1.000000
12.28,1.000000
12.29,1.000000
12.30,1.000000
12.31,1.000000
12.32,1.000000
12.33,1.000000
12.34,1.000000
12.35,1.000000
12.36,1.000000
12.37,1.000000
12.38,1.000000
12.39,1.000000
12.40,1.000000
12.41,1.000000
12.42,1.000000
12.43,1.000000
12.44,1.000000
12.45,1.000000
12.46,1.000000
12.47,1.000000
12.48,1.000000
12.49,1.000000
12.50,1.000000
12.51,1.000000
12.52,1.000000
12.53,1.000000
12.54,1.000000
12.55,1.000000
12.56,1.000000
12.57,1.000000
12.58,1.000000
12.59,1.000000
12.60,1.000000
12.61,1.000000
12.62,1.000000
12.63,1.000000
12.64,1.000000
12.65,1.000000
12.66,1.000000
12.67,1.000000
12.68,1.000000
12.69,1.000000
12.70,1.000000
12.71,1.000000
12.72,1.000000
12.73,1.000000
12.74,1.000000
12.75,1.000000
12.76,1.000000
12.77,1.000000
12.78,1.000000
12.79,1.000000
12.80,1.000000
12.81,1.000000
12.82,1.000000
12.83,1.000000
12.84,1.000000
12.85,1.000000
12.86,1.000000
12.87,1.000000
12.88,1.000000
12.89,1.000000
12.90,1.000000
12.91,1.000000
12.92,1.000000
12.93,1.000000
12.94,1.000000
12.95,1.000000
12.96,1.000000
12.97,1.000000
12.98,1.000000
12.99,1.000000
13.00,1.000000
13.01,1.000000
13.02,1.000000
13.03,1.000000
13.04,1.000000
13.05,1.000000
13.06,1.000000
13.07,1.000000
13.08,1.000000
13.09,1.000000
13.10,1.000000
13.11,1.000000
13.12,1.000000
13.13,1.000000
13.14,1.000000
13.15,1.000000
13.16,1.000000
13.17,1.000000
13.18,1.000000
13.19,1.000000
13.20,1.000000
13.21,1.000000
13.22,1.000000
13.23,1.000000
13.24,1.000000
13.25,1.000000
13.26,0.999013
13.27,0.996057
13.28,0.991144
13.29,0.984292
13.30,0.975528
13.31,0.964888
13.32,0.952414
13.33,0.938153
13.34,0.922164
13.35,0.904508
13.36,0.885257
13.37,0.864484
13.38,0.842274
13.39,0.818712
13.40,0.793893
13.41,0.767913
13.42,0.740877
13.43,0.712890
13.44,0.684062
13.45,0.654508
13.46,0.624345
13.47,0.593691
13.48,0.562667
13.49,0.531395
13.50,0.500000
13.51,0.468605
13.52,0.437333
13.53,0.406309
13.54,0.375655
13.55,0.345492
13.56,0.315938
13.57,0.287110
13.58,0.259123
13.59,0.232087
13.60,0.206107
13.61,0.181288
13.62,0.157726
13.63,0.135516
13.64,0.114743
13.65,0.095492
13.66,0.077836
13.67,0.061847
13.68,0.047586
13.69,0.035112
13.70,0.024472
13.71,0.015708
13.72,0.008856
13.73,0.003943
13.74,0.000987
13.75,0.000000
13.76,0.000000
13.77,0.000000
13.78,0.000000
13.79,0.000000
13.80,0.000000
13.81,0.000000
13.82,0.000000
13.83,0.000000
13.84,0.000000
13.85,0.000000
13.86,0.000000
13.87,0.000000
13.88,0.000000
13.89,0.000000
13.90,0.000000
13.91,0.000000
13.92,0.000000
13.93,0.000000
13.94,0.000000
13.95,0.000000
13.96,0.000000
13.97,0.000000
13.98,0.000000
13.99,0.000000
14.00,0.000000
